Date,Assets,Pr
2018-08-21,10000,0.0
2018-08-22,9984,-0.12
2018-08-23,9851,-1.09
2018-08-24,9975,-0.18
2018-08-27,10353,2.59
2018-08-28,10475,3.49
2018-08-29,10360,2.64
2018-08-30,10257,1.89
2018-08-31,10030,0.22
2018-09-03,9957,-0.32
2018-09-04,10069,0.51
2018-09-05,9682,-2.34
2018-09-06,9664,-2.47
2018-09-07,9665,-2.46
2018-09-10,9554,-3.28
2018-09-11,9536,-3.41
2018-09-12,9608,-2.88
2018-09-13,9791,-1.53
2018-09-14,9791,-1.53
2018-09-17,9815,-1.36
2018-09-18,10133,0.98
2018-09-19,10174,1.28
2018-09-20,10111,0.82
2018-09-21,10391,2.87
2018-09-25,10137,1.01
2018-09-26,10118,0.87
2018-09-27,10085,0.62
2018-09-28,10356,2.61
2018-10-08,9793,-1.52
2018-10-09,9775,-1.65
2018-10-10,9416,-4.29
2018-10-11,9031,-7.12
2018-10-12,9014,-7.24
2018-10-15,8830,-8.59
2018-10-16,8814,-8.71
2018-10-17,8762,-9.09
2018-10-18,8592,-10.34
2018-10-19,8576,-10.46
2018-10-22,8870,-8.3
2018-10-23,8733,-9.3
2018-10-24,8717,-9.42
2018-10-25,9035,-7.09
2018-10-26,8748,-9.19
2018-10-29,8731,-9.32
2018-10-30,8733,-9.3
2018-10-31,8687,-9.64
2018-11-01,8893,-8.13
2018-11-02,9476,-3.85
2018-11-05,9154,-6.21
2018-11-06,9137,-6.34
2018-11-07,9138,-6.33
2018-11-08,9184,-5.99
2018-11-09,8734,-9.3
2018-11-12,8717,-9.42
2018-11-13,8685,-9.66
2018-11-14,8441,-11.45
2018-11-15,8486,-11.12
2018-11-16,8751,-9.17
2018-11-19,8935,-7.82
2018-11-20,8687,-9.64
2018-11-21,8671,-9.76
2018-11-22,8650,-9.91
2018-11-23,8178,-13.38
2018-11-26,8162,-13.5
2018-11-27,8065,-14.21
2018-11-28,8222,-13.06
2018-11-29,7997,-14.71
2018-11-30,8119,-13.81
2018-12-03,8623,-10.11
2018-12-04,8637,-10.01
2018-12-05,8581,-10.42
2018-12-06,8306,-12.44
2018-12-07,8291,-12.55
2018-12-10,8326,-12.29
2018-12-11,8291,-12.55
2018-12-12,8360,-12.04
2018-12-13,8541,-10.71
2018-12-14,8258,-12.79
2018-12-17,8243,-12.9
2018-12-18,8090,-14.03
2018-12-19,7773,-16.36
2018-12-20,7759,-16.46
2018-12-21,7545,-18.03
2018-12-24,7531,-18.13
2018-12-25,7359,-19.4
2018-12-26,7345,-19.5
2018-12-27,7347,-19.48
2018-12-28,7684,-17.01
2019-01-02,7801,-16.15
2019-01-03,7541,-18.06
2019-01-04,8057,-14.27
2019-01-07,8082,-14.09
2019-01-08,8077,-14.12
2019-01-09,8630,-10.06
2019-01-10,8570,-10.5
2019-01-11,8638,-10.0
2019-01-14,8468,-11.25
2019-01-15,8693,-9.6
2019-01-16,8690,-9.62
2019-01-17,8482,-11.15
2019-01-18,8466,-11.27
2019-01-21,8491,-11.08
2019-01-22,8293,-12.54
2019-01-23,8277,-12.65
2019-01-24,8397,-11.77
2019-01-25,8576,-10.46
2019-01-28,8512,-10.93
2019-01-29,8489,-11.1
2019-01-30,8394,-11.79
2019-01-31,8379,-11.9
2019-02-01,8388,-11.84
2019-02-11,8576,-10.46
2019-02-12,8471,-11.23
2019-02-13,8774,-9.0
2019-02-14,8869,-8.31
2019-02-15,8546,-10.68
2019-02-18,8530,-10.8
2019-02-19,8625,-10.1
2019-02-20,8632,-10.05
2019-02-21,8577,-10.45
2019-02-22,9348,-4.79
2019-02-25,10282,2.07
2019-02-26,9906,-0.69
2019-02-27,9878,-0.9
2019-02-28,10049,0.36
2019-03-01,10327,2.4
2019-03-04,10209,1.53
2019-03-05,10244,1.79
2019-03-06,10259,1.9
2019-03-07,11268,9.31
2019-03-08,10886,6.51
2019-03-11,10866,6.36
2019-03-12,10761,5.59
2019-03-13,10872,6.4
2019-03-14,11016,7.46
2019-03-15,10984,7.23
2019-03-18,11222,8.97
2019-03-19,10958,7.04
2019-03-20,10937,6.88
2019-03-21,11143,8.39
2019-03-22,10955,7.01
2019-03-25,10635,4.66
2019-03-26,10615,4.52
2019-03-27,11561,11.46
2019-03-28,11284,9.43
2019-03-29,11921,14.11
2019-04-01,12221,16.31
2019-04-02,12342,17.2
2019-04-03,12392,17.57
2019-04-04,12243,16.47
2019-04-08,12307,16.94
2019-04-09,12280,16.74
2019-04-10,12838,20.84
2019-04-11,12529,18.57
2019-04-12,12506,18.4
2019-04-15,12215,16.27
2019-04-16,12985,21.92
2019-04-17,12779,20.41
2019-04-18,12666,19.58
2019-04-19,12643,19.41
2019-04-22,12120,15.57
2019-04-23,12097,15.4
2019-04-24,12011,14.77
2019-04-25,11729,12.7
2019-04-26,11707,12.54
2019-04-29,11381,10.14
2019-04-30,11341,9.85
2019-05-06,10182,1.34
2019-05-07,10162,1.19
2019-05-08,10052,0.38
2019-05-09,10034,0.25
2019-05-10,10035,0.26
2019-05-13,9748,-1.85
2019-05-14,9730,-1.98
2019-05-15,10045,0.33
2019-05-16,10057,0.42
2019-05-17,9807,-1.42
2019-05-20,9789,-1.55
2019-05-21,9866,-0.98
2019-05-22,9887,-0.83
2019-05-23,9699,-2.21
2019-05-24,9681,-2.34
2019-05-27,9667,-2.45
2019-05-28,9585,-3.05
2019-05-29,9529,-3.46
2019-05-30,9441,-4.11
2019-05-31,9398,-4.42
2019-06-03,9380,-4.55
2019-06-04,9461,-3.96
2019-06-05,9697,-2.23
2019-06-06,9582,-3.07
2019-06-10,9564,-3.2
2019-06-11,9786,-1.57
2019-06-12,9587,-3.03
2019-06-13,9569,-3.17
2019-06-14,9381,-4.55
2019-06-17,9347,-4.8
2019-06-18,9425,-4.22
2019-06-19,9610,-2.86
2019-06-20,9986,-0.1
2019-06-21,10109,0.8
2019-06-24,10123,0.9
2019-06-25,10133,0.98
2019-06-26,9983,-0.12
2019-06-27,10216,1.59
2019-06-28,10064,0.47
2019-07-01,10154,1.13
2019-07-02,10066,0.48
2019-07-03,9925,-0.55
2019-07-04,9907,-0.68
2019-07-05,10030,0.22
2019-07-08,9860,-1.03
2019-07-09,9842,-1.16
2019-07-10,9815,-1.36
2019-07-11,9785,-1.58
2019-07-12,9890,-0.81
2019-07-15,9786,-1.57
2019-07-16,9718,-2.07
2019-07-17,9671,-2.42
2019-07-18,9422,-4.24
2019-07-19,9683,-2.33
2019-07-22,9683,-2.33
2019-07-23,9633,-2.7
2019-07-24,9955,-0.33
2019-07-25,9967,-0.24
2019-07-26,9968,-0.24
2019-07-29,10170,1.25
2019-07-30,10079,0.58
2019-07-31,10102,0.75
2019-08-01,10007,0.05
2019-08-02,9989,-0.08
2019-08-05,9990,-0.07
2019-08-06,9992,-0.06
2019-08-07,9958,-0.31
2019-08-08,10556,4.08
2019-08-09,10658,4.83
2019-08-12,11099,8.07
2019-08-13,11069,7.85
2019-08-14,11049,7.7
2019-08-15,11044,7.67
2019-08-16,11146,8.42
2019-08-19,11160,8.52
2019-08-20,11113,8.17
2019-08-21,11049,7.7
2019-08-22,10993,7.29
2019-08-23,11231,9.04
2019-08-26,10815,5.99
2019-08-27,10795,5.84
2019-08-28,10646,4.74
2019-08-29,10627,4.6
2019-08-30,10490,3.6
2019-09-02,10439,3.22
2019-09-03,10418,3.07
2019-09-04,10261,1.92
2019-09-05,10425,3.12
2019-09-06,10481,3.53
2019-09-09,10375,2.75
2019-09-10,10354,2.6
2019-09-11,10335,2.46
2019-09-12,10888,6.52
2019-09-16,10657,4.83
2019-09-17,10460,3.38
2019-09-18,10441,3.24
2019-09-19,10384,2.82
2019-09-20,10713,5.24
2019-09-23,10741,5.44
2019-09-24,10601,4.41
2019-09-25,10490,3.6
2019-09-26,10443,3.25
2019-09-27,10416,3.06
2019-09-30,10002,0.01
2019-10-08,9984,-0.12
2019-10-09,9994,-0.04
2019-10-10,9955,-0.33
2019-10-11,10056,0.41
2019-10-14,10281,2.06
2019-10-15,10257,1.89
2019-10-16,9890,-0.81
2019-10-17,9920,-0.59
2019-10-18,9837,-1.2
2019-10-21,9819,-1.33
2019-10-22,9526,-3.48
2019-10-23,9434,-4.16
2019-10-24,9247,-5.53
2019-10-25,9234,-5.63
2019-10-28,9238,-5.6
2019-10-29,8993,-7.4
2019-10-30,8719,-9.41
2019-10-31,8804,-8.78
2019-11-01,8835,-8.56
2019-11-04,8849,-8.45
2019-11-05,8945,-7.75
2019-11-06,8879,-8.23
2019-11-07,8863,-8.35
2019-11-08,8872,-8.28
2019-11-11,8828,-8.61
2019-11-12,8812,-8.72
2019-11-13,8781,-8.95
2019-11-14,8807,-8.76
2019-11-15,8560,-10.58
2019-11-18,8699,-9.55
2019-11-19,8703,-9.53
2019-11-20,8519,-10.88
2019-11-21,8485,-11.13
2019-11-22,8561,-10.57
2019-11-25,8932,-7.84
2019-11-26,8994,-7.39
2019-11-27,8913,-7.98
2019-11-28,8891,-8.14
2019-11-29,8695,-9.58
2019-12-02,8740,-9.25
2019-12-03,8672,-9.75
2019-12-04,8611,-10.2
2019-12-05,8651,-9.91
2019-12-06,8691,-9.61
2019-12-09,8590,-10.36
2019-12-10,8769,-9.04
2019-12-11,8658,-9.86
2019-12-12,8607,-10.23
2019-12-13,8557,-10.6
2019-12-16,8545,-10.69
2019-12-17,8504,-10.99
2019-12-18,8466,-11.27
2019-12-19,8400,-11.75
2019-12-20,8404,-11.72
2019-12-23,8373,-11.95
2019-12-24,8346,-12.15
2019-12-25,8281,-12.62
2019-12-26,8018,-14.56
2019-12-27,7868,-15.66
2019-12-30,8090,-14.03
2019-12-31,7971,-14.9
